56BC, 23938
56CA, 21526
56DD, 25555
56DE, 23205
56E1, 26006
56EE, 22705
5708, 22015
5713, 27024
5718, 26650
571F, 22710
5728, 25749
572E, 21450
5730, 21939
574E, 22039
5751, 24354
576A, 24976
5782, 26807
579B, 24815
57C6, 25976
57D2, 27133
5806, 22719
5834, 24602
584C, 23168
585E, 25177
586B, 24318
588A, 23031
5898, 25301
589C, 25813
58C5, 21027
58D3, 25749
58DE, 25693
58EF, 25390
5916, 26899
591A, 22524
591C, 21273
5925, 22867
5927, 23443
593E, 27104
5947, 23046
5948, 22625
5951, 25471
5953, 22061
5957, 22453
5973, 21619
5976, 23870
597D, 22035
5982, 26594
598A, 22936
598D, 25639
59B9, 21890
59D0, 25481
59DC, 24940
59DD, 22232
5A18, 26124
5A36, 24226
5A86, 26870
5A8C, 23798
5A92, 25705
5AB5, 23343
5AE9, 26870
5B43, 26124
5B50, 21696
5B57, 23998
5B5F, 23515
5B6B, 23134
5B82, 26454
5B9A, 23031
5BA2, 26907
5BBF, 25317
5BC2, 26369
5BC6, 23362
5BEC, 23307
5C04, 21273
5C07, 23898
5C0B, 22220
5C0E, 26706
5C0F, 23766
5C10, 23324
5C11, 23766
5C12, 25289
5C14, 21659
5C1A, 23410
5C3A, 23899
5C3B, 21784
5C3E, 23148
5C3F, 24258
5C4E, 22312
5C4F, 23912
5C51, 24434
5C55, 21405
5C64, 22946
5C6F, 26132
5C71, 25842
5D0E, 23046
5D4C, 22613
5DC9, 23166
5DD6, 22749
5DEE, 24166
5E06, 26897
5E33, 22821
5E38, 23412
5E54, 24666
5E73, 25454
5E95, 25350
5EA6, 23009
5EDF, 24933
5EE0, 24716
5F31, 26034
5F35, 24299
5F37, 25420
5F38, 22536
5F48, 26045
5F4A, 25861
5F4C, 21011
5F71, 23782
5F73, 21949
5F7C, 22056
5F8C, 22799
5F90, 21157
5F9B, 23079
5F9E, 27164
5FA9, 23516
5FAE, 22282
5FB5, 21869
5FBC, 23167
5FCD, 26134
5FEB, 26900
600E, 24529
6013, 23321
601D, 23013
602A, 26974
602B, 23012
6041, 22640
6068, 27071
606F, 26027
60B5, 23504
60BD, 21125
60DD, 25008
60E1, 23213
60F0, 26594
60F2, 26270
60F3, 24823
6108, 23092
6115, 25437
611A, 22889
613E, 21533
616B, 24716
6191, 25346
6196, 25780
61A8, 21055
61AE, 21768
61F6, 26594
61F8, 25397
61FC, 21907
6207, 24133
6210, 23714
6211, 27108
6216, 22916
621B, 25976
622A, 26964
6234, 25095
623F, 25402
6252, 22744
6253, 26257
625E, 26340
6263, 22566
626D, 26019
6271, 25169
6272, 22029
627F, 22699
6284, 21602
6291, 21071
6293, 25487
6294, 22236
6298, 21406
62A8, 24829
62AC, 23183
62B1, 23235
62B5, 25081
62C1, 23563
62C2, 26872
62C4, 25081
62C5, 23727
62C9, 26006
62CB, 24239
62CC, 26370
62D3, 23948
62D4, 26086
62D5, 24307
62D8, 21235
62DA, 23597
62ED, 25850
62F1, 22050
62FC, 23661
62FD, 26727
6302, 27023
6303, 26595
6307, 23130
6308, 25437
6309, 21103
6311, 23820
6313, 24951
6316, 24946
6328, 23832
6329, 22453
632A, 25258
6330, 21893
633A, 26138
633E, 25627
634B, 27133
634F, 24296
6355, 23280
6358, 27090
6367, 21635
6376, 26642
637C, 21541
637D, 25401
637E, 23082
6383, 23035
6387, 25749
638A, 26846
638C, 23941
6390, 26253
639E, 21221
639F, 23031
63A0, 26280
63A3, 23765
63A9, 21135
63BD, 23365
63C0, 23893
63C4, 21502
63C9, 26008
63D0, 21157
63D5, 21433
63DA, 21702
63DE, 21055
63EA, 24222
63ED, 25054
6410, 24307
6415, 25579
641C, 22213
6422, 21262
6426, 26670
642A, 22729
642C, 26608
642E, 26806
6436, 23208
6451, 26430
6458, 26045
6467, 24351
6475, 22761
6478, 22647
647B, 22579
647D, 23219
6485, 26770
6487, 27048
6488, 24555
648B, 25845
6490, 21199
6492, 25552
6493, 23167
649E, 22936
649F, 24691
64A0, 25446
64AE, 25263
64BC, 21892
64BE, 23939
64C1, 21083
64C7, 25337
64CD, 22443
64CE, 25606
64D3, 27025
64D4, 23727
64D7, 25765
64E0, 24406
64E4, 22845
64E6, 25220
64F1, 26406
64F2, 25053
64FA, 23274
650F, 25806
6511, 25301
6514, 22096
6518, 26454
651D, 25115
6522, 27094
6524, 25258
652A, 25446
652B, 23948
652F, 23986
6539, 23986
653E, 21635
6562, 24002
6563, 22095
6567, 21235
6574, 24483
6578, 24024
657A, 21397
6581, 21273
659C, 22619
65A1, 26417
65AB, 22761
65B7, 24337
65B9, 24326
65BC, 21044
65BD, 21108
65C1, 24634
65CB, 22584
65E6, 22096
660E, 21282
6613, 22916
661F, 22322
6620, 21393
6627, 26740
6628, 24075
6643, 25845
665A, 23796
6688, 21770
669D, 25411
66A8, 21961
66B4, 24120
66F2, 24228
66F4, 22603
66F7, 22919
66FE, 25613
6703, 27085
672B, 24399
6734, 25075
6746, 26278
6753, 23172
6775, 21405
677E, 22506
679A, 22705
679C, 22541
67AF, 22015
67B0, 23343
67B6, 27023
67C4, 26197
67D0, 22705
67D3, 25744
67DD, 25579
67DE, 26376
67E5, 22992
67F1, 25081
67F5, 22322
